Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
LIONEL MESSI,05/06,LALIGA,21,2006-01-29,A,FC BARCELONA,RCD MALLORCA,0:03,CF,75,0:02,RIGHT-FOOTED SHOT,SYLVINHO
LIONEL MESSI,05/06,COPA DEL REY,QUARTER-FINALS,2006-02-01,H,FC BARCELONA,REAL ZARAGOZA,2:01,CF,42,1:00,HEADER,LUDOVIC GIULY
CRISTIANO RONALDO,05/06,PREMIER LEAGUE,25,2006-02-04,H,MANCHESTER UNITED,FULHAM FC,4:02,OTHER,14,2:00,DIRECT FREE KICK,OTHER
CRISTIANO RONALDO,05/06,PREMIER LEAGUE,25,2006-02-04,H,MANCHESTER UNITED,FULHAM FC,4:02,OTHER,87,4:02,RIGHT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,05/06,PREMIER LEAGUE,26,2006-02-11,A,MANCHESTER UNITED,PORTSMOUTH FC,1:03,RW,38,0:02,LEFT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,05/06,PREMIER LEAGUE,26,2006-02-11,A,MANCHESTER UNITED,PORTSMOUTH FC,1:03,RW,45,0:03,RIGHT-FOOTED SHOT,WAYNE ROONEY
LIONEL MESSI,05/06,LALIGA,24,2006-02-18,H,FC BARCELONA,REAL BETIS BALOMPIE,5:01,RW,84,5:01,LEFT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,05/06,EFL CUP,FINAL,2006-02-26,H,MANCHESTER UNITED,WIGAN ATHLETIC,4:00,RW,59,3:00,OTHER,LOUIS SAHA
CRISTIANO RONALDO,05/06,PREMIER LEAGUE,28,2006-03-06,A,MANCHESTER UNITED,WIGAN ATHLETIC,1:02,OTHER,74,1:01,RIGHT-FOOTED SHOT,RUUD VAN NISTELROOY
CRISTIANO RONALDO,05/06,PREMIER LEAGUE,38,2006-05-07,H,MANCHESTER UNITED,CHARLTON ATHLETIC,4:00,RW,23,2:00,LEFT-FOOTED SHOT,RYAN GIGGS
CRISTIANO RONALDO,06/07,PREMIER LEAGUE,1,2006-08-20,H,MANCHESTER UNITED,FULHAM FC,5:01,OTHER,19,4:00,OTHER,WAYNE ROONEY
LIONEL MESSI,06/07,LALIGA,1,2006-08-28,A,FC BARCELONA,CELTA DE VIGO,2:03,LW,59,1:02,LEFT-FOOTED SHOT,ANDRES INIESTA
LIONEL MESSI,06/07,LALIGA,2,2006-09-09,H,FC BARCELONA,CA OSASUNA,3:00,RW,36,3:00,LEFT-FOOTED SHOT,SAMUEL ETOO
CRISTIANO RONALDO,06/07,PREMIER LEAGUE,6,2006-09-23,A,MANCHESTER UNITED,READING FC,1:01,CF,73,1:01,OTHER,JOHN OSHEA
